BlueprintName,Map,MapCondition,Scavengable,Containers,QuestReward,TrialsReward,ContainerTypeAssumed,DropRateEstimate_PerContainer,AvgRaidsEstimate_6Containers,AvgRaidsEstimate_9Containers,Notes,LocationNotes,BestKnownRoute,CraftingMaterials,WorkshopLevel
Anvil,All,Any,Yes,Raider Containers,No,Yes,Raider,,,,,"Raider containers: uncovered caches (~10% BP rate), raider backpacks, med bags, ammo boxes, weapon boxes, grenade cases; all maps",Uncovered Caches event → hunt ticking caches OR loot weapon cases in any high-value breach rooms,"5 Mechanical Components, 5 Simple Gun Parts",Gunsmith 2
Angled Grip II,All,Any,Yes,Residential Containers,No,Yes,Residential,,,,,"Residential containers (trash cans, wardrobes, desks); high density: Blue Gate Village, Buried City Plaza Rosa/Grandioso, Stella Montis Lobby/Business Center",Blue Gate Village → full residential sweep OR Buried City Plaza Rosa → Grandioso → street residential containers,"2 Mechanical Components, 3 Duct Tape",Gunsmith 2
Angled Grip III,All,Electromagnetic Storm Locked Gate Night Raid,Yes,Residential Containers,No,Yes,Residential,,,,,"Residential containers in Locked Gate/Night Raid/Electromagnetic Storm events; Blue Gate Village (Locked Gate), Buried City residential (Night)",Locked Gate: Blue Gate Village residential sweep OR Night/Storm: Buried City Plaza Rosa → Grandioso,"2 Mod Components, 5 Duct Tape",Gunsmith 3
Aphelion,Stella Montis*,Matriarch,Yes,Any* Matriarch,No,No,Boss Drop,,,,Matriarch boss exclusive,Stella Montis ONLY; Matriarch boss drop (Queen Core),Stella Montis Matriarch event: kill Queen → loot Queen Core,"3 Magnetic Accelerator, 3 Complex Gun Parts, 1 Matriarch Reactor",Gunsmith 3
Barricade Kit,All,Any,Yes,Electrical Containers,No,Yes,Electrical,,,,,"Electrical containers (server cabinets, wall cabinets, androids, computers); all maps","Check electrical rooms in any map (server rooms, tech areas with cabinets/computers/androids)",1 Mechanical Component,Utility Station 2
Bettina,All,Any,Yes,Raider Containers,No,Yes,Raider,,,,,"Raider containers: uncovered caches (~10% BP rate), raider backpacks, med bags, ammo boxes, weapon boxes, grenade cases; all maps",Uncovered Caches event → hunt ticking caches OR loot weapon cases in any high-value breach rooms,"3 Advanced Mechanical Components, 3 Heavy Gun Parts, 3 Canister",Gunsmith 3
Blaze Grenade,All,Any,Yes,Industrial Containers,No,Yes,Industrial,,,,,"Industrial containers (red lockers, rusty raider boxes, shipping containers); Blue Gate Maintenance, Dam Primary Facility, Stella Montis Loading Bay",Stella Montis Loading Bay → shipping containers OR Blue Gate Maintenance Wing → red lockers/rusty raider boxes,"1 Explosive Compound, 2 Oil",Explosives Station 3
Bobcat,,Locked Gate,Yes,Anywhere,No,Yes,Mixed,,,,,"Locked Gate event ONLY; any container, any map during event","Locked Gate event: loot any high-density area (Blue Gate Village, Dam primary areas, Buried City pharmacies)","1 Magnetic Accelerator, 3 Light Gun Parts, 2 Exodus Modules",Gunsmith 3
Burletta,,,No,,Industrial Espionage,Yes,Quest,,,,Quest: Industrial Espionage,Quest reward ONLY: Industrial Espionage,Complete Industrial Espionage quest,"3 Mechanical Components, 3 Simple Gun Parts",Gunsmith 1
Combat Mk. 3 (Aggressive),Stella Montis Blue Gate,Any,Yes,Medical Containers Security Containers,No,Yes,Security/Medical,,,,,"Medical + Security containers; Blue Gate Security Wing (downstairs + upstairs medical), Stella Montis Lobby/Business Center augment boxes",Blue Gate Reinforced Reception → breach room security lockers → upstairs medical floor → Security Wing augment boxes,"2 Advanced Electrical Components, 3 Processors",Gear Bench 3
Combat Mk. 3 (Flanking),Stella Montis Blue Gate,Any,Yes,Medical Containers Security Containers,No,Yes,Security/Medical,,,,,"Medical + Security containers; Blue Gate Security Wing (downstairs + upstairs medical), Stella Montis Lobby/Business Center augment boxes",Blue Gate Reinforced Reception → breach room security lockers → upstairs medical floor → Security Wing augment boxes,"2 Advanced Electrical Components, 3 Processors",Gear Bench 3
Compensator II,All,Any,Yes,Residential Containers,No,Yes,Residential,,,,,"Residential containers (trash cans, wardrobes, desks); high density: Blue Gate Village, Buried City Plaza Rosa/Grandioso, Stella Montis Lobby/Business Center",Blue Gate Village → full residential sweep OR Buried City Plaza Rosa → Grandioso → street residential containers,"2 Mechanical Components, 8 Wires",Gunsmith 2
Compensator III,,Electromagnetic Storm Locked Gate Night Raid,Yes,Residential Containers,No,Yes,Residential,,,,,"Residential containers in Locked Gate/Night Raid/Electromagnetic Storm events; Blue Gate Village (Locked Gate), Buried City residential (Night)",Locked Gate: Blue Gate Village residential sweep OR Night/Storm: Buried City Plaza Rosa → Grandioso,"2 Mod Components, 8 Wires",Gunsmith 3
Complex Gun Parts,All,Any,Yes,Security Containers,No,Yes,Security Locker,0.136,1.23,0.82,Security locker measured rate,"Security containers (augment-style boxes); Blue Gate Reinforced Reception breach room (6 security lockers, 13.6% per locker measured)",Blue Gate Reinforced Reception → breach room → full security locker clear (6-9 containers),"2 Light Gun Parts, 2 Medium Gun Parts, 2 Heavy Gun Parts",Refiner 3
Deadline,Stella Montis,Any,Yes,Anywhere,No,Yes,Mixed,,,,,"Stella Montis ONLY; any container, day or night raid",Stella Montis: Security Checkpoint 4-floor sweep OR Lobby/Business Center high-density loot,"3 Explosive Compound, 2 ARC Circuitry",Explosives Station 3
Defibrillator,All,Any,Yes,Medical Containers,No,Yes,Medical,,,,,"Medical containers (white drawers, med bags) all maps; best density: Buried City Hospital/Space Travel, Stella Montis Medical Research, Dam Testing Annex, Blue Gate underground medical floor",Stella Montis Medical Research → full medical floor clear OR Buried City Hospital → Space Travel buildings (blue medical drawers),"9 Plastic Parts, 1 Moss",Medical Lab 2
Explosive Mine,All,Any,Yes,Industrial Containers,No,Yes,Industrial,,,,,"Industrial containers (red lockers, rusty raider boxes, shipping containers); Blue Gate Maintenance, Dam Primary Facility, Stella Montis Loading Bay",Stella Montis Loading Bay → shipping containers OR Blue Gate Maintenance Wing → red lockers/rusty raider boxes,"1 Explosive Compound, 1 Sensors",Explosives Station 3
Extended Barrel,All,Electromagnetic Storm Locked Gate Night Raid,Yes,Residential Containers,No,Yes,Residential,,,,,"Residential containers in Locked Gate/Night Raid/Electromagnetic Storm events; Blue Gate Village (Locked Gate), Buried City residential (Night)",Locked Gate: Blue Gate Village residential sweep OR Night/Storm: Buried City Plaza Rosa → Grandioso,"2 Mod Components, 8 Wires",Gunsmith 3
Extended Light Magazine II,All,Any,Yes,Residential Containers,No,Yes,Residential,,,,,"Residential containers (trash cans, wardrobes, desks); high density: Blue Gate Village, Buried City Plaza Rosa/Grandioso, Stella Montis Lobby/Business Center",Blue Gate Village → full residential sweep OR Buried City Plaza Rosa → Grandioso → street residential containers,"2 Mechanical Components, 3 Steel Springs",Gunsmith 2
Extended Light Magazine III,All,Electromagnetic Storm Locked Gate Night Raid,Yes,Residential Containers,No,Yes,Residential,,,,,"Residential containers in Locked Gate/Night Raid/Electromagnetic Storm events; Blue Gate Village (Locked Gate), Buried City residential (Night)",Locked Gate: Blue Gate Village residential sweep OR Night/Storm: Buried City Plaza Rosa → Grandioso,"2 Mod Components, 5 Steel Springs",Gunsmith 3
Extended Medium Magazine II,All,Night Raid,Yes,Residential Containers,No,Yes,Residential,,,,,"Residential containers (trash cans, wardrobes, desks); Night Raid required; high density: Blue Gate Village, Buried City Plaza Rosa/Grandioso",Night Raid: Blue Gate Village OR Buried City residential blocks,"2 Mechanical Components, 3 Steel Springs",Gunsmith 2
Extended Medium Magazine III,All,Electromagnetic Storm Locked Gate Night Raid,Yes,Residential Containers,No,Yes,Residential,,,,,"Residential containers in Locked Gate/Night Raid/Electromagnetic Storm events; Blue Gate Village (Locked Gate), Buried City residential (Night)",Locked Gate: Blue Gate Village residential sweep OR Night/Storm: Buried City Plaza Rosa → Grandioso,"2 Mod Components, 5 Steel Springs",Gunsmith 3
Extended Shotgun Magazine II,All,Any,Yes,Residential Containers,No,Yes,Residential,,,,,"Residential containers (trash cans, wardrobes, desks); high density: Blue Gate Village, Buried City Plaza Rosa/Grandioso, Stella Montis Lobby/Business Center",Blue Gate Village → full residential sweep OR Buried City Plaza Rosa → Grandioso → street residential containers,"2 Mechanical Components, 3 Steel Springs",Gunsmith 2
Extended Shotgun Magazine III,All,Electromagnetic Storm Locked Gate Night Raid,Yes,Residential Containers,No,Yes,Residential,,,,,"Residential containers in Locked Gate/Night Raid/Electromagnetic Storm events; Blue Gate Village (Locked Gate), Buried City residential (Night)",Locked Gate: Blue Gate Village residential sweep OR Night/Storm: Buried City Plaza Rosa → Grandioso,"2 Mod Components, 5 Steel Springs",Gunsmith 3
Equalizer,,Harvester,No,Harvester,No,No,Boss Drop,,,,Harvester boss exclusive,Queen boss drop (Queen Core) OR Harvester puzzle completion,Kill Queen → loot Queen Core OR complete Harvester puzzle → loot central containers,"3 Magnetic Accelerator, 3 Complex Gun Parts, 1 Queen Reactor",Gunsmith 3
Fireworks Box,?,?,?,?,No,?,Unknown,,,,,Industrial containers (historically); spawn status unclear post-Cold Snap removal (Feb 2026),"Check industrial zones if still spawning (Stella Montis Loading Bay, Blue Gate Maintenance)","1 Explosive Compound, 3 Pop Triggers",Explosives Station 2
Gas Mine,Stella Montis,Any,Yes,Any,No,?,Mixed,,,,,"Stella Montis ONLY; any container, day or night raid",Stella Montis: Security Checkpoint 4-floor sweep OR Lobby/Business Center high-density loot,"4 Chemicals, 2 Rubber Parts",Explosives Station 1
Heavy Gun Parts,All,Any,Yes,Raider Containers,No,Yes,Raider,,,,,"Raider containers: uncovered caches (~10% BP rate), raider backpacks, med bags, ammo boxes, weapon boxes, grenade cases; all maps",Uncovered Caches event → hunt ticking caches OR loot weapon cases in any high-value breach rooms,4 Simple Gun Parts,Refiner 2
Hullcracker,,,No,,The Major's Footlocker,No,Quest,,,,Quest: The Major's Footlocker,Quest reward ONLY: The Major's Footlocker,Complete The Major's Footlocker quest,"1 Magnetic Accelerator, 3 Heavy Gun Parts, 1 Exodus Module",Gunsmith 3
Il Toro,All,Any,Yes,Raider Containers,No,Yes,Raider,,,,,"Raider containers: uncovered caches (~10% BP rate), raider backpacks, med bags, ammo boxes, weapon boxes, grenade cases; all maps",Uncovered Caches event → hunt ticking caches OR loot weapon cases in any high-value breach rooms,"5 Mechanical Components, 6 Simple Gun Parts",Gunsmith 1
Jolt Mine,All,Any,Yes,Industrial Containers,No,Yes,Industrial,,,,,"Industrial containers (red lockers, rusty raider boxes, shipping containers); Blue Gate Maintenance, Dam Primary Facility, Stella Montis Loading Bay",Stella Montis Loading Bay → shipping containers OR Blue Gate Maintenance Wing → red lockers/rusty raider boxes,"1 Electrical Components, 1 Battery",Explosives Station 2
Jupiter,,Harvester,No,Harvester,No,No,Boss Drop,,,,Harvester boss exclusive,Queen boss drop (Queen Core) OR Harvester puzzle completion,Kill Queen → loot Queen Core OR complete Harvester puzzle → loot central containers,"3 Magnetic Accelerator, 3 Complex Gun Parts, 1 Queen Reactor",Gunsmith 3
Light Gun Parts,All,Any,Yes,Raider Containers,No,Yes,Raider,,,,,"Raider containers: uncovered caches (~10% BP rate), raider backpacks, med bags, ammo boxes, weapon boxes, grenade cases; all maps",Uncovered Caches event → hunt ticking caches OR loot weapon cases in any high-value breach rooms,4 Simple Gun Parts,Refiner 2
Light Stick (Any Color),All,Any,Yes,Anywhere,No,Yes,Mixed,,,,,"Any container, any map; higher rate in day raids (anecdotal)","Day raid: any map, check all containers (spawns anywhere)",3 Chemicals,Utility Station 1
Lightweight Stock,All,Electromagnetic Storm Locked Gate Night Raid,Yes,Residential Containers,No,Yes,Residential,,,,,"Residential containers in Locked Gate/Night Raid/Electromagnetic Storm events; Blue Gate Village (Locked Gate), Buried City residential (Night)",Locked Gate: Blue Gate Village residential sweep OR Night/Storm: Buried City Plaza Rosa → Grandioso,"2 Mod Components, 5 Duct Tape",Gunsmith 3
Looting Mk. 3 (Safekeeper),All,Any,Yes,Medical Containers Security Containers,No,Yes,Security/Medical,,,,,"Medical + Security containers; Blue Gate Security Wing (downstairs + upstairs medical), Stella Montis Lobby/Business Center augment boxes",Blue Gate Reinforced Reception → breach room security lockers → upstairs medical floor → Security Wing augment boxes,"2 Advanced Electrical Components, 3 Processors",Gear Bench 3
Looting Mk. 3 (Survivor),All,Any,Yes,Medical Containers Security Containers,No,Yes,Security/Medical,,,,,"Medical + Security containers; Blue Gate Security Wing (downstairs + upstairs medical), Stella Montis Lobby/Business Center augment boxes",Blue Gate Reinforced Reception → breach room security lockers → upstairs medical floor → Security Wing augment boxes,"2 Advanced Electrical Components, 3 Processors",Gear Bench 3
Lure Grenade,,,No,,Greasing Her Palms,No,Quest,,,,Quest: Greasing Her Palms,Quest reward ONLY: Greasing Her Palms,Complete Greasing Her Palms quest,"1 Speaker Component, 1 Electrical Components",Utility Station 2
Medium Gun Parts,All,Any,Yes,Raider Containers,No,Yes,Raider,,,,,"Raider containers: uncovered caches (~10% BP rate), raider backpacks, med bags, ammo boxes, weapon boxes, grenade cases; all maps",Uncovered Caches event → hunt ticking caches OR loot weapon cases in any high-value breach rooms,4 Simple Gun Parts,Refiner 2
Muzzle Brake II,All,Any,Yes,Residential Containers,No,Yes,Residential,,,,,"Residential containers (trash cans, wardrobes, desks); high density: Blue Gate Village, Buried City Plaza Rosa/Grandioso, Stella Montis Lobby/Business Center",Blue Gate Village → full residential sweep OR Buried City Plaza Rosa → Grandioso → street residential containers,"2 Mechanical Components, 8 Wires",Gunsmith 2
Muzzle Brake III,All,Electromagnetic Storm Locked Gate Night Raid,Yes,Residential Containers,No,Yes,Residential,,,,,"Residential containers in Locked Gate/Night Raid/Electromagnetic Storm events; Blue Gate Village (Locked Gate), Buried City residential (Night)",Locked Gate: Blue Gate Village residential sweep OR Night/Storm: Buried City Plaza Rosa → Grandioso,"2 Mod Components, 8 Wires",Gunsmith 3
Osprey,All,Any,Yes,Raider Containers,No,Yes,Raider,,,,,"Raider containers: uncovered caches (~10% BP rate), raider backpacks, med bags, ammo boxes, weapon boxes, grenade cases; all maps",Uncovered Caches event → hunt ticking caches OR loot weapon cases in any high-value breach rooms,"2 Advanced Mechanical Components, 3 Medium Gun Parts, 7 Wires",Gunsmith 3
Padded Stock,All,Electromagnetic Storm Locked Gate Night Raid,Yes,Residential Containers,No,Yes,Residential,,,,,"Residential containers in Locked Gate/Night Raid/Electromagnetic Storm events; Blue Gate Village (Locked Gate), Buried City residential (Night)",Locked Gate: Blue Gate Village residential sweep OR Night/Storm: Buried City Plaza Rosa → Grandioso,"2 Mod Components, 5 Duct Tape",Gunsmith 3
Pulse Mine,Stella Montis,Any,Yes,Anywhere,No,Yes,Mixed,,,,,"Stella Montis ONLY; any container, day or night raid",Stella Montis: Security Checkpoint 4-floor sweep OR Lobby/Business Center high-density loot,"1 Crude Explosive, 1 Wires",Explosives Station 2
Remote Raider Flare,All,Any,Yes,Electrical Containers,No,Yes,Electrical,,,,,"Electrical containers (server cabinets, wall cabinets, androids, computers); all maps","Check electrical rooms in any map (server rooms, tech areas with cabinets/computers/androids)","2 Chemicals, 4 Rubber Parts",Utility Station 1
Seeker Grenade,Stella Montis,Any,Yes,Anywhere,No,?,Mixed,,,,,"Stella Montis ONLY; any container, day or night raid",Stella Montis: Security Checkpoint 4-floor sweep OR Lobby/Business Center high-density loot,"1 Crude Explosives, 2 ARC Alloy",Explosives Station 2
Shotgun Choke II,All,Any,Yes,Residential Containers,No,Yes,Residential,,,,,"Residential containers (trash cans, wardrobes, desks); high density: Blue Gate Village, Buried City Plaza Rosa/Grandioso, Stella Montis Lobby/Business Center",Blue Gate Village → full residential sweep OR Buried City Plaza Rosa → Grandioso → street residential containers,"2 Mechanical Components, 4 Wires",Gunsmith 2
Shotgun Choke III,All,Electromagnetic Storm Locked Gate Night Raid,Yes,Residential Containers,No,Yes,Residential,,,,,"Residential containers in Locked Gate/Night Raid/Electromagnetic Storm events; Blue Gate Village (Locked Gate), Buried City residential (Night)",Locked Gate: Blue Gate Village residential sweep OR Night/Storm: Buried City Plaza Rosa → Grandioso,"2 Mod Components, 4 Wires",Gunsmith 3
Shotgun Silencer,All,Electromagnetic Storm Locked Gate Night Raid Hidden Bunker,Yes,Residential Containers,No,Yes,Residential,,,,,Residential containers in Locked Gate/Night Raid/Electromagnetic Storm/Hidden Bunker events,Locked Gate OR Hidden Bunker: Blue Gate Village OR Buried City residential areas,"2 Mod Components, 8 Wires",Gunsmith 3
Showstopper,All,Any,Yes,Industrial Containers,No,Yes,Industrial,,,,,"Industrial containers (red lockers, rusty raider boxes, shipping containers); Blue Gate Maintenance, Dam Primary Facility, Stella Montis Loading Bay",Stella Montis Loading Bay → shipping containers OR Blue Gate Maintenance Wing → red lockers/rusty raider boxes,"1 Advanced Electrical Components, 1 Voltage Converter",Explosives Station 3
Silencer I,All,Any,Yes,Residential Containers,No,Yes,Residential,,,,,"Residential containers (trash cans, wardrobes, desks); high density: Blue Gate Village, Buried City Plaza Rosa/Grandioso, Stella Montis Lobby/Business Center",Blue Gate Village → full residential sweep OR Buried City Plaza Rosa → Grandioso → street residential containers,"2 Mechanical Components, 4 Wires",Gunsmith 2
Silencer II,All,Any,Yes,Residential Containers,No,Yes,Residential,,,,,"Residential containers (trash cans, wardrobes, desks); high density: Blue Gate Village, Buried City Plaza Rosa/Grandioso, Stella Montis Lobby/Business Center",Blue Gate Village → full residential sweep OR Buried City Plaza Rosa → Grandioso → street residential containers,"2 Mod Components, 8 Wires",Gunsmith 3
Smoke Grenade,All,Any,Yes,Residential Containers,No,Any,Residential,,,,,"Residential containers; Blue Gate Village, Buried City residential, Stella Montis Lobby",Blue Gate Village OR Buried City Plaza Rosa → Grandioso residential sweep,"14 Chemicals, 1 Canister",Utility Station 2
Snap Hook,,Electromagnetic Storm,Yes,Anywhere,No,No,Mixed,,,,,Electromagnetic Storm event ONLY; any container within storm area,Electromagnetic Storm: loot containers INSIDE storm zone (any map),"2 Power Rod, 3 Rope, 1 Exodus Module",Utility Station 3
Stable Stock II,All,Any,Yes,Residential Containers,No,Yes,Residential,,,,,"Residential containers (trash cans, wardrobes, desks); high density: Blue Gate Village, Buried City Plaza Rosa/Grandioso, Stella Montis Lobby/Business Center",Blue Gate Village → full residential sweep OR Buried City Plaza Rosa → Grandioso → street residential containers,"2 Mechanical Components, 3 Duct Tape",Gunsmith 2
Stable Stock III,,Electromagnetic Storm Locked Gate Night Raid,Yes,Residential Containers,No,Yes,Residential,,,,,"Residential containers in Locked Gate/Night Raid/Electromagnetic Storm events; Blue Gate Village (Locked Gate), Buried City residential (Night)",Locked Gate: Blue Gate Village residential sweep OR Night/Storm: Buried City Plaza Rosa → Grandioso,"2 Mod Components, 5 Duct Tape",Gunsmith 3
Tactical Mk. 3 (Defensive),Stella Montis Blue Gate,Any,Yes,Medical Containers Security Containers,No,Yes,Security/Medical,,,,,"Medical + Security containers; Blue Gate Security Wing (downstairs + upstairs medical), Stella Montis Lobby/Business Center augment boxes",Blue Gate Reinforced Reception → breach room security lockers → upstairs medical floor → Security Wing augment boxes,"2 Advanced Electrical Components, 3 Processors",Gear Bench 3
Tactical Mk. 3 (Healing),Stella Montis Blue Gate,Any,Yes,Medical Containers Security Containers,No,Yes,Security/Medical,,,,,"Medical + Security containers; Blue Gate Security Wing (downstairs + upstairs medical), Stella Montis Lobby/Business Center augment boxes",Blue Gate Reinforced Reception → breach room security lockers → upstairs medical floor → Security Wing augment boxes,"2 Advanced Electrical Components, 3 Processors",Gear Bench 3
Tactical Mk. 3 (Revival),Stella Montis Blue Gate,Any,Yes,Medical Containers Security Containers,No,Yes,Security/Medical,,,,,"Medical + Security containers; Blue Gate Security Wing (downstairs + upstairs medical), Stella Montis Lobby/Business Center augment boxes",Blue Gate Reinforced Reception → breach room security lockers → upstairs medical floor → Security Wing augment boxes,"2 Advanced Electrical Components, 3 Processors",Gear Bench 3
Tagging Grenade,All,Any,Yes,Electrical Containers,No,Yes,Electrical,,,,,"Electrical containers (server cabinets, wall cabinets, androids, computers); all maps","Check electrical rooms in any map (server rooms, tech areas with cabinets/computers/androids)","1 Electrical Components, 1 Sensors",Utility Station 3
Tempest,,Night Raid,Yes,Residential Containers,No,Yes,Residential,,,,,Night Raid ONLY; residential containers best; Buried City (high residential density) or Stella Montis Lobby/Business (suitcases/trash),Night Raid: Buried City residential blocks OR Stella Montis Lobby → Business Center (zero-kit naked runs),"1 Magnetic Accelerator, 3 Medium Gun Parts, 2 Exodus Modules",Gunsmith 3
Torrente,All,Any,Yes,Raider Containers,No,Yes,Raider,,,,,"Raider containers: uncovered caches (~10% BP rate), raider backpacks, med bags, ammo boxes, weapon boxes, grenade cases; all maps",Uncovered Caches event → hunt ticking caches OR loot weapon cases in any high-value breach rooms,"2 Advanced Mechanical Components, 3 Medium Gun Parts, 6 Steel Springs",Gunsmith 3
Trailblazer,Stella Montis,Any,Yes,Anywhere,No,Yes,Mixed,,,,,"Stella Montis ONLY; any container, day or night raid",Stella Montis: Security Checkpoint 4-floor sweep OR Lobby/Business Center high-density loot,"1 Explosive Compound, 1 Synthesized Fuel",Explosives Station 2
Trigger 'Nade,All,Any,Yes,Anywhere,Sparks Fly,?,Mixed,,,,Quest: Sparks Fly,"Quest reward: Sparks Fly (also spawns anywhere, any container)",Complete Sparks Fly quest OR loot high-value breach rooms,"2 Crude Explosives, 1 Processor",Explosives Station 2
Venator,All,Any,Yes,Raider Containers,No,Yes,Raider,,,,,"Raider containers: uncovered caches (~10% BP rate), raider backpacks, med bags, ammo boxes, weapon boxes, grenade cases; all maps",Uncovered Caches event → hunt ticking caches OR loot weapon cases in any high-value breach rooms,"2 Advanced Mechanical Components, 3 Medium Gun Parts, 5 Magnet",Gunsmith 2
Vertical Grip II,All,Any,Yes,Residential Containers,No,Yes,Residential,,,,,"Residential containers (trash cans, wardrobes, desks); high density: Blue Gate Village, Buried City Plaza Rosa/Grandioso, Stella Montis Lobby/Business Center",Blue Gate Village → full residential sweep OR Buried City Plaza Rosa → Grandioso → street residential containers,"2 Mechanical Components, 3 Duct Tape",Gunsmith 2
Vertical Grip III,,Electromagnetic Storm Locked Gate Night Raid,Yes,Residential Containers,No,Yes,Residential,,,,,"Residential containers in Locked Gate/Night Raid/Electromagnetic Storm events; Blue Gate Village (Locked Gate), Buried City residential (Night)",Locked Gate: Blue Gate Village residential sweep OR Night/Storm: Buried City Plaza Rosa → Grandioso,"2 Mod Components, 5 Duct Tape",Gunsmith 3
Vita Shot,All,Any,Yes,Medical Containers ARC Surveyor,No,Yes,Medical/Surveyor,,,,,"Medical containers (white drawers, med bags) all maps; best density: Buried City Hospital/Space Travel, Stella Montis Medical Research, Dam Testing Annex, Blue Gate underground medical floor",Stella Montis Medical Research → full medical floor clear OR Buried City Hospital → Space Travel buildings (blue medical drawers),"2 Antiseptic, 1 Syringe",Medical Lab 3
Vita Spray,All,Any,Yes,Medical Containers ARC Surveyor,No,Yes,Medical/Surveyor,,,,,"Medical containers (white drawers, med bags) all maps; best density: Buried City Hospital/Space Travel, Stella Montis Medical Research, Dam Testing Annex, Blue Gate underground medical floor",Stella Montis Medical Research → full medical floor clear OR Buried City Hospital → Space Travel buildings (blue medical drawers),"3 Antiseptic, 1 Canister",Medical Lab 3
Vulcano,,Hidden Bunker,Yes,Anywhere,No,Yes,Mixed,,,,,Hidden Bunker event ONLY; higher chance in key rooms (Spaceport keys recommended),"Hidden Bunker event: Spaceport key rooms (Control Tower, Departure, Arrival key rooms)","1 Magnetic Accelerator, 3 Heavy Gun Parts, 1 Exodus Module",Gunsmith 3
Wolfpack,,Night Raid,Yes,Residential Containers,No,Yes,Residential,,,,,Night Raid ONLY; residential containers best; Buried City (high residential density) or Stella Montis Lobby/Business (suitcases/trash),Night Raid: Buried City residential blocks OR Stella Montis Lobby → Business Center (zero-kit naked runs),"2 Explosive Compound, 2 Sensors",Explosives Station 3
